species_code,fish_description
-1,Unknown
1,Sockeye (Juvenile)
2,Stickleback
3,Peamouth Chub
4,Coho (Adult)
5,Sculpin
6,Dolly Varden
7,Sockeye (Fry)
8,Sockeye (Adult)
9,Lamprey
10,Steelhead (Adult)
11,Chinook
12,Non-sockeye
13,Coho (Fry)
14,Coho (Smolt)
15,Steelhead (Juvenile)
16,Sockeye (1+)
17,Sockeye (2+)
18,Cutthoat Trout
19,Chum (Fry)
20,Crayfish
21,Rainbow Trout (Adult)
22,Pink
23,Rainbow Trout (Juvenile)
24,Chum (Adult)
25,Kokanee (Adult)
26,Stickleback (Fry)
27,Stickleback (Sub-adult)
28,Sucker (Catostomus)
29,Whitefish (Coregonus)
30,Red-sided Shiner
31,Northern Squawfish
36,Lamprey