"lake_name","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999"
"Alastair Lake",0,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,684,0,0,0,0
"Awun Lake",0,0,250,445,25,87,92,83,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bear Lake",0,13,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,8,0,0,0,0
"Bonilla Lake",0,0,949,627,1728,759,223,752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bowser Lake",0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,21,58,0,0,0,0,0,0
"Brannen Lake",0,0,0,0,0,0,0,0,0,394,0,0,0,4,0,0,0,0,0,0,0,0,0
"Cheewhat Lake",0,0,0,0,0,0,100,293,308,717,747,739,1138,888,382,0,0,0,0,303,0,0,0
"Cougar Lake",0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
"Curtis Lake",0,0,459,1200,1087,35,229,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Damdochax Lake",0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,146,216,0,0,0,0,0,0
"Deer Lake",0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"Devon Lake",0,0,753,2172,324,212,203,1307,1083,727,731,712,0,0,0,0,0,0,0,0,0,0,0
"Dragon Lake",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320,0,0,0,0,0,0,0
"Eden Lake",0,0,213,83,63,100,42,19,77,38,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ellerslie Lake",0,0,0,0,0,0,0,0,0,0,0,27,0,0,4,0,0,0,0,0,0,0,0
"Fred Wright Lake",0,534,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0
"Glendale Lake",0,0,0,0,0,0,0,46,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Great Central Lake",1487,61,932,620,1566,1252,260,140,6,18,50,151,463,328,498,533,0,190,0,280,505,0,0
"Henderson Lake",57,49,88,48,94,425,292,147,579,207,945,144,618,168,55,522,976,507,241,95,0,0,0
"Hesquiat Lake",0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Heydon Lake",0,0,0,0,0,0,0,9,7,17,14,0,0,0,0,0,0,0,0,0,0,0,0
"Hobiton Lake",175,10,59,0,284,219,401,989,665,238,342,1281,869,495,313,180,0,0,0,41,0,0,0
"Ian Lake",0,0,85,19,8,8,14,6,4,1,0,0,0,0,7,0,0,0,0,18,0,0,0
"Ingram Lake",0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0
"Jansen Lake",0,0,0,0,0,0,32,18,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kennedy Lake (Clay)",1262,2204,2588,502,1097,1405,839,15530,2630,411,955,716,986,736,53,0,0,0,80,82,0,0,0
"Kennedy Lake (Main)",1745,844,3395,890,2699,1430,1677,0,407,918,586,0,2549,1132,424,0,0,507,795,1009,0,0,0
"Kitlope Lake",0,66,125,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kitwanga Lake",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
"Klukshu Lake",0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0
"Link Lake",0,0,0,0,0,0,0,0,0,0,0,13,0,0,3,0,0,0,0,0,0,0,0
"Long Lake",333,116,624,1404,510,423,1411,1584,527,1089,1352,1340,3083,709,1025,1799,1735,509,1098,410,495,0,0
"Long Lake (A)",0,0,0,0,0,0,0,0,0,0,0,0,0,1025,0,0,0,0,0,0,20,161,409
"Long Lake (B)",0,0,0,0,0,0,0,0,0,0,0,0,0,1649,0,0,0,0,0,0,0,398,586
"Lowe Lake",0,7,798,10,26,15,120,8,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Maggie Lake",0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0
"Mathers Lake",0,0,0,0,0,0,0,67,54,0,0,0,0,0,0,0,86,0,0,0,0,0,0
"Megin Lake",0,0,0,0,0,0,0,36,57,0,29,0,0,0,0,0,44,0,84,0,0,0,0
"Mercer Lake",0,0,625,376,269,447,193,1142,0,263,0,0,0,0,0,0,0,0,0,0,0,0,0
"Meziadin Lake",0,442,0,0,0,0,0,0,0,0,0,0,0,0,90,169,1031,0,0,0,0,0,0
"Morice Lake",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Morrison Lake",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0
"Muchalat Lake",0,0,0,0,0,0,78,148,72,25,240,237,0,0,0,0,178,106,355,0,0,0,0
"Muriel Lake",0,0,0,0,0,23,152,271,401,164,202,452,208,60,0,0,0,0,0,0,111,0,0
"Nahmint Lake",0,0,0,0,0,0,0,0,0,7,73,29,0,0,0,0,0,0,0,0,0,0,0
"Nahwitti Lake",0,0,0,0,0,0,0,55,25,0,265,150,0,0,0,0,0,0,0,0,0,0,0
"Nimpkish Lake",0,31,57,149,257,411,564,123,118,126,414,126,11,231,130,0,0,0,0,0,0,0,0
"Owikeno Lake",0,303,0,0,0,0,0,0,0,0,1691,1497,471,4363,3313,2713,0,0,2986,1456,0,0,0
"Phillips Lake",0,0,0,0,0,0,0,25,13,376,65,0,0,0,0,0,0,0,0,0,0,0,0
"Port John Lake",0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Power Lake",0,0,0,0,0,0,0,0,47,30,0,0,0,0,0,0,0,0,0,0,0,0,0
"Quatse Lake",0,0,0,0,0,0,0,73,120,113,18,142,0,0,0,0,0,0,0,0,0,0,0
"Schoen Lake",0,0,0,0,0,0,0,0,0,0,4,42,0,0,0,40,0,0,0,0,0,0,0
"Simpson Lake",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Skidegate Lake",0,0,0,0,0,0,0,0,377,84,56,39,390,804,75,77,3,0,0,82,30,0,0
"Sproat Lake",0,0,160,267,371,499,308,126,4,233,169,0,307,236,269,241,0,0,4,419,92,0,0
"Sproat Lake (Two R)",0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0
"Stephens Lake",0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Swan Lake",0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0
"Tahltan Lake",0,0,0,0,0,0,0,0,37,0,0,0,410,0,165,67,191,0,0,0,0,0,0
"Tatsamenie Lake",0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,4,89,0,0,0,0,0,0
"Trapper Lake",0,0,0,0,0,0,0,0,0,0,0,0,0,0,802,0,0,0,0,0,0,0,0
"Uchuck Lake",0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0
"Vernon Lake",0,13,0,6,0,0,0,0,0,73,22,156,0,113,4,229,0,0,0,0,0,0,0
"Woss Lake",0,67,41,29,198,342,251,123,88,201,66,254,1127,206,30,706,0,0,0,0,0,0,0
"Yakoun Lake",0,0,0,0,0,118,112,278,485,146,744,246,1222,140,21,5,0,0,0,40,29,0,0
"Total",5059,5013,12201,8883,10606,8210,7688,23666,8375,6616,9780,8675,13891,13287,7921,7772,4607,1819,6401,4235,1282,559,995
